activity,trial,student,window_idx,accelerometer_y_var,accelerometer_z_var,accelerometer_y_range,accelerometer_z_min,accelerometer_y_max,accelerometer_x_max,gyroscope_y_range,gravity_z_min,gravity_y_max,gravity_x_max,gravity_x_min,gyroscope_x_range,gravity_z_median,gravity_y_min,accelerometer_z_iqr,gravity_z_var,accelerometer_x_iqr,accelerometer_z_fft_dom_freq_hz,gravity_z_max,gyroscope_z_range,gravity_z_range,gravity_y_var,gyroscope_y_var,gravity_x_rms,gravity_y_range,gravity_y_rms,accelerometer_mag_fft_dom_freq_hz,accelerometer_y_fft_dom_freq_hz,gyroscope_y_min,gyroscope_z_fft_dom_freq_hz,gyroscope_z_max,gyroscope_z_min,gyroscope_x_iqr,gravity_mag_fft_dom_freq_hz,accelerometer_z_mean,gyroscope_mag_var,gyroscope_z_var,accelerometer_mag_min,accelerometer_z_median,gyroscope_y_iqr,gyroscope_mag_median,gyroscope_mag_fft_dom_freq_hz,gravity_yz_corr,gyroscope_mag_iqr,gyroscope_mag_spec_entropy,gyroscope_z_iqr,accelerometer_y_mean,gravity_y_fft_dom_mag,gyroscope_mag_min,gyroscope_mag_fft_dom_mag
Running,1,Student1,0,111.29072599598582,30.036868252919117,59.50499881670177,-15.608118602466584,13.879995417699217,26.526226454311605,16.69170832633972,-3.2816225008174777,-8.254543599613012,4.884724782817811,-1.2277109627993776,9.200039982795715,0.1377601669103954,-9.7961394196406,5.3540267770553,3.503663909693596,7.578557916585356,2.5,3.197789056224376,8.423805952072144,6.479411557041853,0.1736408972223168,5.688117084393867,2.498269307770881,1.541595820027588,9.296280989760128,0.5,2.5,-5.94894289970398,2.5,4.363019824028015,-4.060786128044128,2.409456104040146,2.5,-0.3385545060403438,3.214888380405859,2.814136421485508,2.094360441799002,-0.5349066487766803,2.06476329267025,2.5516174375599325,0.5,-0.6199237684540129,2.0945006845582745,2.996621229506167,2.342641279101372,-1.8038594288244247,0.1749259109518511,0.428956788594235,0.5811699080785465
Running,1,Student1,1,200.973053966841,43.29786743256511,66.19794454948307,-16.41054557645321,14.437733929878473,21.532866378599405,16.24123191833496,-2.55834972756654,-8.233388291120528,4.7612451181434094,-1.4331428979627787,9.0898175239563,0.796325369175896,-9.80500281731486,5.044677517430111,2.0958030791826947,10.601082577699236,6.5,2.4468203937310724,10.958977937698364,5.0051701212976125,0.1829815990290782,8.814584477558705,2.4113054322066887,1.571614526194331,9.38778452972902,6.5,2.5,-6.145017623901367,1.5,4.955836296081543,-6.003141641616821,2.7414702624082565,2.5,-0.0457260381172328,3.40516284492615,4.717902055650017,2.027091072444006,-1.0080134786572312,3.0912022292613983,3.5157138729643163,2.5,-0.8074585081175786,2.163078714462668,3.215959067460852,2.785954177379608,-1.400786272287332,0.1923183151813492,0.5801874910018753,0.6581528804876582
Running,1,Student1,2,196.0902086107249,54.17080159804662,63.26383054121733,-19.019897469243407,16.431532250380513,25.80736389871836,16.299434185028076,-2.7677123167097566,-8.213233976364137,5.08326860243529,-0.8512665543489157,10.65381634235382,-0.0040796511211141,-9.803938110692798,5.209299102369975,1.664736561171728,12.18150175711792,9.5,1.8347810401089488,9.011202096939089,4.602493356818705,0.2449602514763917,7.956669172117796,2.5699166556563204,1.5907041343286608,9.374862387162972,4.0,2.5,-4.718354225158691,1.5,4.503968000411987,-4.5072340965271,2.6759904474020004,4.0,0.0833406615873705,4.303507844687219,4.5292422007383095,2.5023084182126003,-0.3655785483799875,2.870778009295464,2.878281929750621,2.5,-0.801004802952719,1.9616773669379295,3.1806847735099315,2.8652805238962173,-1.2350905341210143,0.2447634481940627,0.4168810586629672,0.5319479466347248
Running,1,Student1,3,186.03580568466955,32.79721135536341,65.16925032104253,-14.555744223231075,16.089187131941316,24.187064544332024,15.270793676376345,-2.0105383698355404,-8.474900168718396,4.63404541003257,-0.9195381996076551,8.917596101760864,0.7835523420435375,-9.805280465212462,5.246386943205353,1.1419400685743524,12.742221075206247,6.5,1.704998841224238,8.843476057052612,3.7155372110597775,0.1411679623222386,6.939219098633205,2.090977603042446,1.3303802964940663,9.512263578544388,6.5,2.5,-4.769957780838013,1.5,4.510923624038696,-4.332552433013916,2.2763355150818825,4.0,-0.5806722285211086,2.982629640039976,3.969192075975296,1.3279412214102349,-0.6468614232162945,3.748809337615967,2.8229109314565357,2.5,-0.7797181486736973,1.754323883074703,3.280868199401464,3.11313770711422,-1.701901050565466,0.1518357390261615,0.2219773345350303,0.4467786697538806
Running,2,Student1,0,127.721539799683,29.76858110906891,56.71247003864348,-13.71636845155358,15.027202628317474,22.54166582000256,11.79548478126526,-3.6787837898105376,-8.74117122451961,3.841463245972991,-1.6501956032171845,8.137901425361633,0.619625799296284,-9.7923932188496,5.655497969382303,3.810047269875381,9.225810105028096,2.5,3.192854960823059,9.212530851364136,6.871638750633597,0.0967092508776084,4.583340995928006,1.940203854399321,1.0512219943299907,9.411748684106763,6.0,2.5,-4.443100214004517,1.5,4.826007127761841,-4.386523723602295,2.5889111533761024,3.5,0.3057346615630305,2.1604608220980013,2.968807039351678,1.9247403360372173,-0.2057026144640984,2.2651845067739487,2.6968170088328764,3.5,-0.7021301549646384,1.957787610761156,2.957907866768714,2.1779127959162,-1.4934453705149742,0.1601112001452259,0.4682675616429466,0.4356869657516206
Running,2,Student1,1,179.33870774602144,39.61436123471948,66.17302462776006,-14.610049813914298,13.936851861909032,24.001222823768856,18.539440155029297,-2.277162038466707,-8.475420977722107,4.571816917395592,-1.8212631676923483,8.771657824516296,0.8398319727460852,-9.804747965770956,5.245540427644923,1.719840077723497,10.779529621433838,6.5,2.444040626819432,11.32124924659729,4.721202665286139,0.1143140193281783,7.826511732376202,2.0642384168441468,1.329326988048848,9.483143380600485,6.5,2.5,-6.502673625946045,1.5,5.343006372451782,-5.978242874145508,2.0220291316509247,2.5,-0.6386946744391863,3.764823766097218,4.985259998976656,1.180437290059126,-1.33818275040593,3.0433176532387733,2.8695045454331978,2.5,-0.6739886783578725,2.144485667049828,3.1544456113028376,2.831428006291389,-0.7211651276019808,0.1381555324775686,0.6528068490340377,0.5946336948455498
Running,2,Student1,2,180.769207945532,54.08673370474419,59.62967207507492,-15.37740021382272,16.464673472481962,25.21162035779357,15.807785749435425,-2.5792317720755933,-8.286802778182924,4.833708442938328,-2.0131694489914924,9.327893137931824,0.5848134199790657,-9.804697112366556,6.775126076405122,2.396347202799204,11.534427659265324,6.5,2.602342452419549,10.859538555145264,5.181574224495142,0.1907284826070844,7.666953433784442,2.457041390399944,1.517894334183632,9.362703883705525,4.0,2.5,-4.450018167495728,1.5,5.456449270248413,-5.403089284896851,2.7455525398254395,4.0,0.2623103565742835,3.869298294477012,4.829421014032298,2.384156333382878,-0.3143825776172801,3.5658821891993284,3.031394824105704,4.0,-0.8033291617206577,2.0609642331165747,3.0983893708484844,2.5377664491534238,-0.7076452561205179,0.1904107545561016,0.5462616939612567,0.5221804897193124
Running,2,Student1,3,184.064885952902,61.24391900393583,65.7555187621355,-15.795522750040888,16.01184319549799,26.20881236351132,17.834303855895996,-2.5581299473360177,-8.473849782882631,4.26175713488087,-1.483950709658116,10.720414519309998,0.0927625400446885,-9.806033037145436,5.562171350444573,1.837275838504896,10.737084454816394,6.5,1.876776892056316,10.267480373382568,4.434906839392333,0.1643879633315811,9.288464644526153,2.311140416121052,1.3321832542628051,9.432874049093908,6.5,2.5,-5.1116790771484375,1.5,5.134867668151856,-5.132612705230713,2.763718282183011,4.0,0.3793302642584498,4.603680079456057,4.152462921497677,1.841396280144421,-0.3192174869604414,3.799128249287605,2.978154197470225,2.5,-0.8370441182065027,2.317794150568385,3.1240300829438543,2.94052142649889,-0.8666213511012643,0.1750182174678569,0.8124318435994319,0.7008859405081851
Running,2,Student1,4,87.72845414062724,15.40164515448045,52.11169882944226,-10.04025826486647,11.252683505326509,22.62802425302863,14.071223974227903,-0.9596533158423378,-9.31529154717922,3.030609366033226,-1.8802802970673889,7.233537554740906,1.3028672530053185,-9.788596164654194,2.6116347064977514,0.6456222706840454,4.663408063443377,7.0,2.465856591177732,8.330526947975159,3.42550990702007,0.016585229444136,4.729322375536946,1.1389409842897358,0.4733046174749749,9.635037511705477,0.5,2.5,-5.500811100006104,2.5,5.177130460739136,-3.153396487236023,0.7998180221766232,0.5,-0.7302695775369733,3.235542987774362,1.968628107303261,0.2233372456480176,-0.8282508588120341,2.103046846886476,1.658463854590608,0.5,0.4412064694735187,2.22211248629099,2.859742815397339,0.8401716947555542,-0.5699309929014297,0.0622130826042954,0.172362090376068,0.6803249937254116
Running,3,Student1,0,97.53034913661683,18.03070384237636,51.34033627128302,-11.91236964932978,11.58342644877732,23.41324874780178,13.061190366744995,-3.7316261760734015,-8.555228089408576,4.128159104035049,-1.217403321133554,7.723491787910461,0.3181053320784199,-9.799730429869888,4.34147591069676,5.594161792770665,5.546335154615623,1.0,3.63759706228897,7.809034824371338,7.3692232383623715,0.0812327622764879,4.701605502359808,1.5101540985181918,1.2445023404613114,9.396723027481444,0.5,2.5,-4.645711421966553,1.5,3.998054623603821,-3.810980200767517,2.082536563277245,0.5,0.0288701399244661,2.648740690274975,1.697671155561995,0.351765883724391,-0.1509542393162845,2.1763614881783724,2.562064536990817,0.5,-0.2120076450053643,2.3465420816161355,2.701515475122437,1.4876438714563849,-1.052598728965901,0.1173283407381837,0.4272460633097715,0.6566663051890853
