activity,student,window_idx,gyroscope_y_range,gravity_z_min,accelerometer_z_iqr,gravity_z_range,gyroscope_x_max,gyroscope_mag_iqr,accelerometer_y_mean
Running,Student1,0,14.071223974227905,-0.9596533158423378,2.6116347064977514,3.42550990702007,3.1226378679275517,2.22211248629099,-0.5699309929014297
Running,Student1,1,14.265389321,-1.995475752,4.745153824125,3.9026908175,3.9606761935,1.8650054549639696,-1.67035376125
Running,Student1,2,16.69170832633972,-3.2816225008174777,5.3540267770553,6.479411557041853,3.540875792503357,2.0945006845582745,-1.8038594288244247
Running,Student1,3,15.942102432250977,-3.3585923432514067,11.89717997124344,8.697499256053566,5.726044654846191,2.9685076585106396,-1.536564258523777
Running,Student1,4,14.872343063354492,-2.406600976871699,6.055684460548591,4.723087017728016,3.1510586738586426,2.3263579723885077,-0.7419763017545192
Running,Student1,5,13.061190366744995,-3.7316261760734015,4.34147591069676,7.3692232383623715,3.408368945121765,2.3465420816161355,-1.052598728965901
Running,Student1,6,15.66653395,-3.2951258335,5.2195639830000005,7.3774515535,3.7075326445,1.874799898504353,-1.8867827348200001
Running,Student1,7,16.24123191833496,-2.55834972756654,5.044677517430111,5.0051701212976125,3.3493831157684326,2.163078714462668,-1.4007862722873319
Running,Student1,8,16.421942472457886,-3.2141311192162334,9.584804580576344,8.421693333057313,5.608717203140259,2.456088664116079,-3.8228550033052566
Running,Student1,9,18.539440155029297,-2.277162038466707,5.245540427644923,4.721202665286139,2.800093054771424,2.1444856670498282,-0.7211651276019808
Running,Student1,10,16.299434185028076,-2.7677123167097566,5.209299102369975,4.602493356818705,3.6754575967788696,1.9616773669379297,-1.2350905341210143
Running,Student1,11,15.587226867675781,-2.350306915785,5.142490259672794,4.713245349606126,3.882370114326477,1.8509195882886904,-0.36211530732925995
Running,Student1,12,13.0883384925,-2.3459925595,5.46492493225,4.632315955499999,4.4316973685,2.2683627328963727,-2.051945566045
Running,Student1,13,15.270793676376343,-2.0105383698355404,5.246386943205353,3.7155372110597784,3.12135648727417,1.754323883074703,-1.701901050565466
Running,Student1,14,11.795484781265259,-3.6787837898105376,5.655497969382303,6.871638750633597,3.513280510902405,1.9577876107611558,-1.4934453705149742
Running,Student1,15,9.526437997817993,-2.6205098311424253,7.166967914807936,6.9172592228189105,4.684234142303467,2.2265176498597534,-0.7555591496243775
Running,Student1,16,12.305271029,-1.377714075,3.5432444797500002,4.263773808,3.9876486065,1.8266359651280641,-0.9773956594375001
Running,Student1,17,12.040950059890747,-4.024199840127677,10.46377177340798,9.562611380403489,5.143519401550293,2.275597195328825,-2.1202265283998174
Running,Student1,18,11.571906805038452,-2.6663459919050334,9.207855254811047,7.339877901412547,4.336832523345947,2.38660032130523,-1.337333245746687
Running,Student1,19,13.521126747131348,-2.4624160953350365,9.50860053488314,8.620731512062996,5.062938690185547,2.5238696108560412,-1.1613369152485356
Running,Student1,20,11.329516967137653,-2.658134043876827,8.672994795441193,7.048010485931486,5.0693182945251465,3.0979066529394252,-3.0234197818613944
Running,Student1,21,17.834303855895996,-2.5581299473360177,5.562171350444573,4.434906839392333,3.775872111320496,2.3177941505683854,-0.8666213511012643
Running,Student1,22,16.478644371032715,-2.4381617979139087,6.939958089225272,5.754446300659328,3.821929812431336,2.3127158176531992,-2.1581228419190865
Running,Student1,23,13.7319035515,-2.2634138640000003,5.2841736715,4.8226210855,3.761307359,1.8660971078558934,-1.22608219714
Running,Student2,0,12.671788692474365,-4.887382984161377,11.992511510848999,9.207984209060669,5.518480062484741,3.0700622484981666,-1.2120463204383851
Running,Student2,1,14.974343140920002,-3.3481436570485434,9.931363125642141,9.783698161443075,4.557894706726074,2.550696604556892,-1.0617968316872917
Running,Student2,2,10.198089718818665,-3.637577176094055,8.863106146454811,7.785231232643127,4.786052703857422,2.25353014148411,-1.4747915983200073
Running,Student2,3,11.163969675699871,-4.242116610209147,9.424932276209194,8.884869972864788,4.459239721298218,2.2411381350085455,-0.7422837762037915
Running,Student2,4,11.066842079162598,-3.9579878648122153,8.356426189343136,7.277249415715536,4.339815855026245,2.661848459984597,-2.6409553599357607
Running,Student2,5,11.779619932174683,-3.923815488815308,10.066102921962738,7.150721391042074,4.778111696243286,2.335661146557104,-1.7432327167193096
Running,Student2,6,10.763140201568604,-4.42821741104126,9.42728727310896,8.68012547492981,4.765283346176148,2.2378877596696682,-1.176034175157547
Running,Student2,7,10.679757118225098,-4.274430274963379,9.91152210533619,8.866701126098633,4.804378747940064,2.41740923331352,-0.6628756809234619
Running,Student2,8,10.94701067606608,-3.936429580052694,10.724059010545414,7.760793447494507,5.414531389872233,2.612817026313908,-1.8714148275057474
Running,Student2,9,5.960415919621785,2.275977611541748,2.4601829051971436,5.7485175132751465,2.3781238396962485,1.6388896459150506,-3.013525454600652
Running,Student2,10,11.743273417154949,-3.209087491035461,8.197973653674126,7.56739342212677,5.207855224609375,2.378594009630541,-1.5785091790755588
Running,Student2,11,10.193508227666218,-2.472962776819865,7.834765474001567,9.220735788345337,4.232303619384766,2.087627928556582,-1.2237741986910502
Running,Student2,12,11.209173838297525,-4.304342269897461,8.988050699234009,6.993744214375814,5.172628720601399,2.518235389822423,-1.4319166624546054
Running,Student2,13,11.89415725072225,-3.989964365959168,10.406443138917288,8.518631498018902,4.794299602508545,2.6121310780423443,-1.503604591290156
Running,Student2,14,12.046160538991293,-2.7882810433705645,8.777304391066235,6.825087467829386,4.202167431513469,2.697936784597241,-1.884787944157918
