time,seconds_elapsed,z,y,x
1759485902725631500,0.061631591796875,0.009255776181817055,0.1049572303891182,-0.011218490079045296
1759485902735689500,0.071689453125,-0.007100661285221577,0.07391802221536636,0.012445137836039066
1759485902745746400,0.081746337890625,-0.015382559038698673,0.07154860347509384,0.03890950232744217
1759485902755803400,0.091803466796875,-0.018077101558446884,0.06498004496097565,0.044959086924791336
1759485902765861600,0.101861572265625,-0.014721252024173737,0.03480882570147514,0.03535120189189911
1759485902775918600,0.111918701171875,-0.01295595895498991,0.004090565722435713,0.014640736393630505
1759485902785976300,0.121976318359375,-0.007924981415271759,-0.006922936998307705,-0.0118001913651824
1759485902796033300,0.132033203125,-0.004645209293812513,-0.004850937053561211,-0.016902916133403778
1759485902806090200,0.14209033203125,-0.006328593473881483,-0.00024446711177006364,-0.005804992280900478
1759485902816148500,0.1521484375,-0.0030720154754817486,0.019646169617772102,0.014993427321314812
1759485902826205400,0.162205322265625,-0.004439548589289188,0.035551100969314575,0.03796239197254181
1759485902836263400,0.172263427734375,-0.00110548734664917,0.04960206523537636,0.044298529624938965
1759485902846320400,0.1823203125,0.004679963458329439,0.05041619390249252,0.03948353976011276
1759485902856377300,0.19237744140625,0.004064615815877914,0.054867133498191833,0.024569731205701828
1759485902866435600,0.202435546875,0.00003978051245212555,0.050717130303382874,0.008927388116717339
1759485902876492500,0.212492431640625,-0.0054131303913891315,0.03459398075938225,0.0056579094380140305
1759485902886550500,0.222550537109375,-0.008604396134614944,0.019546588882803917,0.009738671593368053
1759485902896607500,0.232607421875,-0.0048114340752363205,0.009165957570075989,0.012164993211627007
1759485902906664400,0.24266455078125,0.00022540288046002388,0.006966985296458006,0.009672008454799652
1759485902916722200,0.25272216796875,0.004309359937906265,0.006631160620599985,0.009312215261161327
1759485902926779400,0.262779296875,0.010037395171821117,0.012422611005604267,0.01155342161655426
1759485902936836600,0.272836669921875,0.013265146873891354,0.021529024466872215,0.013787813484668732
1759485902946894300,0.282894287109375,0.003751222975552082,0.015009744092822075,0.009582732804119587
1759485902956951300,0.292951416015625,-0.005147836171090603,0.0016342188464477658,0.012629223987460136
1759485902967009300,0.30300927734375,-0.010796933434903622,-0.0059235659427940845,0.014283847063779831
1759485902977066500,0.31306640625,-0.015844454988837242,-0.005483850371092558,0.007440619170665741
1759485902987123500,0.32312353515625,-0.014299821108579636,-0.014377476647496223,0.0007683350704610348
1759485902997181400,0.333181396484375,-0.00911001954227686,-0.013900852762162685,-0.01208550576120615
1759485903007238400,0.34323828125,0.0021040192805230618,-0.013532004319131374,-0.023148275911808014
1759485903017295400,0.35329541015625,0.009360866621136665,-0.01525214035063982,-0.024834856390953064
1759485903027353600,0.363353515625,0.014999119564890862,-0.01589326187968254,-0.022016245871782303
1759485903037410600,0.37341064453125,0.01934465952217579,-0.0010581811657175422,-0.014845747500658035
1759485903047468500,0.383468505859375,0.0020346459932625294,-0.004771959036588669,-0.008943649008870125
1759485903057525500,0.393525390625,-0.004857615102082491,-0.018890708684921265,-0.008129787631332874
1759485903067582500,0.40358251953125,-0.0011142757721245289,-0.031033923849463463,-0.014730431139469147
1759485903077640400,0.413640380859375,0.001391901634633541,-0.037912897765636444,-0.024026867002248764
1759485903087697400,0.423697509765625,0.00781970750540495,-0.04473671689629555,-0.03595782443881035
1759485903097755400,0.43375537109375,0.012946191243827343,-0.04689166694879532,-0.05095772072672844
1759485903107812400,0.443812255859375,0.0066118622198700905,-0.04118477925658226,-0.06523332744836807
1759485903117869300,0.453869384765625,0.002874403726309538,-0.024807775393128395,-0.07269686460494995
1759485903127927300,0.46392724609375,-0.005398439709097147,-0.021995743736624718,-0.07452086359262466
1759485903137984500,0.473984619140625,-0.002572595374658704,-0.01906261034309864,-0.07138492166996002
1759485903148041500,0.48404150390625,-0.019065817818045616,0.03426505997776985,-0.06918275356292725
1759485903158099500,0.494099365234375,-0.049298807978630066,0.06993552297353745,-0.07992995530366898
1759485903168156400,0.504156494140625,-0.10168664902448654,0.05731666088104248,-0.11887123435735703
1759485903178214400,0.51421435546875,-0.12346066534519196,0.03720119595527649,-0.1720934361219406
1759485903188271600,0.524271728515625,-0.11713086813688278,-0.0017978694522753358,-0.22642271220684052
1759485903198328600,0.53432861328125,-0.10032536834478378,-0.058744434267282486,-0.2721807658672333
1759485903208386300,0.54438623046875,-0.0886431485414505,-0.07711945474147797,-0.31137531995773315
1759485903218443500,0.554443603515625,-0.09014513343572617,-0.07319530099630356,-0.32952746748924255
1759485903228500500,0.56450048828125,-0.11326935887336731,-0.044660598039627075,-0.31857308745384216
1759485903238558500,0.574558349609375,-0.14284011721611023,-0.031247884035110474,-0.31256571412086487
1759485903248615200,0.584615234375,-0.16013814508914948,-0.05774207413196564,-0.3045029938220978
1759485903258673400,0.59467333984375,-0.1626875102519989,-0.09444253891706467,-0.29661130905151367
1759485903268730400,0.60473046875,-0.1446067839860916,-0.13061518967151642,-0.28317034244537354
1759485903278787300,0.614787353515625,-0.10520429164171219,-0.19719506800174713,-0.25197696685791016
1759485903288845300,0.62484521484375,-0.08428889513015747,-0.30172520875930786,-0.22426064312458038
1759485903298902300,0.63490234375,-0.10398385673761368,-0.4055126905441284,-0.21870148181915283
1759485903308959500,0.64495947265625,-0.11948665231466293,-0.49795740842819214,-0.25147193670272827
1759485903319017500,0.655017578125,-0.12304174154996872,-0.5908206105232239,-0.3120689392089844
1759485903329074400,0.665074462890625,-0.09598269313573837,-0.658742368221283,-0.3803478479385376
1759485903339132400,0.67513232421875,-0.07197693735361099,-0.6126752495765686,-0.42283302545547485
1759485903349189400,0.685189453125,-0.04536423087120056,-0.472170352935791,-0.40637147426605225
1759485903359246300,0.695246337890625,-0.0203359704464674,-0.30242404341697693,-0.3348087668418884
1759485903369304300,0.70530419921875,0.02647813968360424,-0.12065345048904419,-0.24025481939315796
1759485903379361300,0.715361328125,0.10158639401197433,0.06993333995342255,-0.15280716121196747
1759485903389418200,0.725418212890625,0.14918400347232819,0.1931820511817932,-0.08558151870965958
1759485903399476200,0.735476318359375,0.1406431347131729,0.22520236670970917,-0.06471128761768341
1759485903409533200,0.745533203125,0.07825058698654175,0.16223245859146118,-0.09265130758285522
1759485903419591400,0.75559130859375,0.011999296024441719,-0.01866951584815979,-0.14642038941383362
1759485903429648400,0.7656484375,0.0034518809989094734,-0.22269508242607117,-0.21565166115760803
1759485903439705300,0.775705322265625,0.055388789623975754,-0.37276381254196167,-0.2832892835140228
1759485903449763300,0.785763427734375,0.09755994379520416,-0.443086713552475,-0.33010900020599365
1759485903459820300,0.7958203125,0.12613564729690552,-0.424479216337204,-0.3827447295188904
1759485903469877500,0.80587744140625,0.14057211577892303,-0.40235552191734314,-0.3904103636741638
1759485903479935500,0.815935546875,0.2425786554813385,-0.45805075764656067,-0.34029078483581543
1759485903489992400,0.825992431640625,0.34907767176628113,-0.5106716156005859,-0.2578939199447632
1759485903500050400,0.836050537109375,0.3834933936595917,-0.4286430776119232,-0.21923188865184784
1759485903510107400,0.846107421875,0.39043787121772766,-0.2599262297153473,-0.22531162202358246
1759485903520164600,0.85616455078125,0.3779159486293793,-0.20989689230918884,-0.20679226517677307
1759485903530222300,0.866222412109375,0.366615891456604,-0.16451983153820038,-0.21368904411792755
1759485903540279300,0.876279296875,0.37926796078681946,-0.17336924374103546,-0.22856108844280243
1759485903550336300,0.886336181640625,0.3917693793773651,-0.22872543334960938,-0.24813531339168549
1759485903560394200,0.896394287109375,0.4023931622505188,-0.2948727011680603,-0.26515960693359375
1759485903570451200,0.906451171875,0.4128420948982239,-0.35097619891166687,-0.29353663325309753
1759485903580508400,0.91650830078125,0.42260581254959106,-0.38697579503059387,-0.2913236618041992
1759485903590566400,0.92656640625,0.42210274934768677,-0.338956356048584,-0.307172954082489
1759485903600623400,0.936623291015625,0.39636313915252686,-0.2217160016298294,-0.3448824882507324
1759485903610681300,0.946681396484375,0.3545456528663635,-0.1041179969906807,-0.3437490463256836
1759485903620738300,0.95673828125,0.3483443558216095,-0.03568990156054497,-0.31832510232925415
1759485903630795500,0.96679541015625,0.34247100353240967,-0.009338987991213799,-0.28291890025138855
1759485903640853500,0.976853515625,0.3574811518192291,0.04086752608418465,-0.27273625135421753
1759485903650910500,0.986910400390625,0.3712949752807617,0.09297467023134232,-0.2657071053981781
1759485903660967400,0.996967529296875,0.39319196343421936,0.1367168426513672,-0.2720842659473419
1759485903671025200,1.007025146484375,0.38622406125068665,0.16668567061424255,-0.29545241594314575
1759485903681082400,1.017082275390625,0.3375129699707031,0.19629548490047455,-0.3138314485549927
1759485903691139600,1.0271396484375,0.2855174243450165,0.17797426879405975,-0.3033665418624878
1759485903701197300,1.037197265625,0.20741376280784607,0.17071406543254852,-0.306034654378891
1759485903711254300,1.047254150390625,0.12616577744483948,0.19909004867076874,-0.3240128457546234
1759485903721312300,1.057312255859375,0.12357842922210693,0.14298349618911743,-0.268995076417923
1759485903731369200,1.067369140625,0.1395890861749649,0.07397513091564178,-0.21750472486019135
1759485903741426400,1.077426513671875,0.11668488383293152,0.023570528253912926,-0.20100700855255127
1759485903751484400,1.087484375,0.10163802653551102,-0.020412376150488853,-0.1946961134672165
1759485903761541400,1.097541259765625,0.1012914702296257,-0.04915647208690643,-0.19440871477127075
1759485903771598300,1.107598388671875,0.10489606112241745,-0.08781598508358002,-0.19904100894927979
1759485903781656300,1.11765625,0.10670571774244308,-0.1135249137878418,-0.21396484971046448
1759485903791713500,1.127713623046875,0.10312429815530777,-0.11531588435173035,-0.2510480284690857
1759485903801770500,1.1377705078125,0.0839667096734047,-0.11187555640935898,-0.29265469312667847
1759485903811828500,1.147828369140625,0.09486303478479385,-0.11138980090618134,-0.2932024896144867
1759485903821885400,1.157885498046875,0.06100235879421234,-0.12934646010398865,-0.32667431235313416
1759485903831942400,1.1679423828125,0.012556529603898525,-0.1837836056947708,-0.35882213711738586
1759485903842000400,1.17800048828125,0.0010743453167378902,-0.25054433941841125,-0.3771119713783264
1759485903852057300,1.188057373046875,-0.00920305959880352,-0.31386446952819824,-0.3946312963962555
1759485903862115300,1.198115234375,-0.03113425150513649,-0.3488084077835083,-0.4061202108860016
1759485903872172300,1.20817236328125,-0.05347337946295738,-0.37218111753463745,-0.40517133474349976
1759485903882229200,1.218229248046875,-0.05950894579291344,-0.3962254524230957,-0.3998948931694031
1759485903892287200,1.228287353515625,-0.061187803745269775,-0.42523232102394104,-0.3968953788280487
1759485903902344400,1.238344482421875,-0.06908698379993439,-0.4520058333873749,-0.3918777108192444
1759485903912401400,1.2484013671875,-0.06709760427474976,-0.4810768961906433,-0.3784055709838867
1759485903922459400,1.25845947265625,-0.055517930537462234,-0.5171116590499878,-0.35619214177131653
1759485903932516400,1.268516357421875,-0.04303090274333954,-0.5448745489120483,-0.3295472264289856
1759485903942573300,1.2785732421875,-0.025734372437000275,-0.5658952593803406,-0.30342647433280945
1759485903952631600,1.288631591796875,-0.02162192016839981,-0.5778043866157532,-0.2772603929042816
1759485903962688500,1.2986884765625,0.002814223524183035,-0.5676390528678894,-0.24791564047336578
1759485903972745500,1.308745361328125,0.03479905426502228,-0.5345783233642578,-0.2268923819065094
1759485903982803500,1.318803466796875,0.04376153647899628,-0.4858418107032776,-0.2166648805141449
1759485903992860400,1.3288603515625,0.04998454451560974,-0.45566099882125854,-0.22425995767116547
