seconds_elapsed,acc_z,acc_y,acc_x,grav_z,grav_y,grav_x,gyro_z,gyro_y,gyro_x
0.6400,-0.0074,0.3018,0.1944,2.4474,-8.8761,3.3757,-0.0318,-0.2310,-0.2020
0.6500,0.0046,-0.0573,-0.0622,2.4222,-8.8785,3.3875,-0.0737,-0.3156,-0.1543
0.6600,-0.1027,-0.3498,-0.5236,2.3982,-8.8798,3.4011,-0.0400,-0.3597,-0.1253
0.6700,-0.0738,-0.5855,-0.7438,2.3758,-8.8823,3.4104,0.0210,-0.3359,-0.1078
0.6800,0.1264,-0.6700,-0.7816,2.3564,-8.8864,3.4130,0.0820,-0.2721,-0.0894
0.6900,0.3321,-0.5494,-0.7673,2.3413,-8.8921,3.4088,0.1334,-0.1961,-0.0703
0.7000,0.4923,-0.3741,-0.6581,2.3305,-8.8986,3.3991,0.1657,-0.1403,-0.0438
0.7100,0.5865,-0.2628,-0.5345,2.3236,-8.9052,3.3865,0.1793,-0.1186,-0.0104
0.7200,0.5948,-0.1961,-0.4368,2.3201,-8.9112,3.3732,0.1773,-0.1262,0.0251
0.7300,0.5011,-0.1103,-0.3375,2.3193,-8.9160,3.3609,0.1651,-0.1462,0.0600
0.7400,0.3570,-0.0549,-0.2350,2.3210,-8.9196,3.3503,0.1528,-0.1574,0.0925
0.7500,0.2471,-0.0656,-0.1402,2.3254,-8.9222,3.3402,0.1533,-0.1335,0.1164
0.7600,0.1667,-0.0528,-0.0144,2.3328,-8.9248,3.3282,0.1655,-0.0718,0.1268
0.7700,0.0815,-0.0062,0.1472,2.3431,-8.9274,3.3138,0.1735,-0.0109,0.1322
0.7800,-0.0150,0.0691,0.2483,2.3555,-8.9299,3.2982,0.1697,0.0214,0.1377
0.7900,-0.0968,0.1408,0.2648,2.3689,-8.9319,3.2832,0.1507,0.0157,0.1445
0.8000,-0.1722,0.1262,0.2434,2.3822,-8.9328,3.2712,0.1189,-0.0273,0.1527
0.8100,-0.2648,0.0072,0.1572,2.3942,-8.9326,3.2628,0.0974,-0.0790,0.1512
0.8200,-0.3482,-0.1235,0.0103,2.4037,-8.9324,3.2566,0.0968,-0.1150,0.1316
0.8300,-0.3707,-0.1892,-0.0874,2.4102,-8.9328,3.2505,0.1052,-0.1342,0.1037
0.8400,-0.2831,-0.1746,-0.0639,2.4140,-8.9343,3.2436,0.1188,-0.1153,0.0727
0.8500,-0.0781,-0.0897,0.0862,2.4165,-8.9371,3.2342,0.1359,-0.0533,0.0452
0.8600,0.1485,0.0031,0.2531,2.4194,-8.9407,3.2219,0.1444,0.0156,0.0350
0.8700,0.2586,0.1245,0.3194,2.4240,-8.9444,3.2082,0.1374,0.0570,0.0416
0.8800,0.1970,0.2553,0.2889,2.4302,-8.9473,3.1955,0.1124,0.0435,0.0589
0.8900,-0.0086,0.2732,0.1915,2.4367,-8.9486,3.1866,0.0778,-0.0272,0.0769
0.9000,-0.2510,0.1543,0.0028,2.4417,-8.9489,3.1821,0.0644,-0.1116,0.0789
0.9100,-0.3910,-0.0050,-0.2097,2.4436,-8.9496,3.1787,0.0859,-0.1469,0.0558
0.9200,-0.3777,-0.1030,-0.2345,2.4426,-8.9518,3.1731,0.1127,-0.1250,0.0199
0.9300,-0.2714,-0.1444,-0.0840,2.4397,-8.9557,3.1645,0.1316,-0.0756,-0.0132
0.9400,-0.1752,-0.0913,0.0590,2.4359,-8.9606,3.1536,0.1362,-0.0359,-0.0321
0.9500,-0.1780,0.0729,0.0956,2.4318,-8.9656,3.1424,0.1284,-0.0300,-0.0353
0.9600,-0.2178,0.1713,0.0641,2.4277,-8.9703,3.1322,0.1170,-0.0545,-0.0258
0.9700,-0.2256,0.1375,0.0501,2.4237,-8.9740,3.1246,0.0947,-0.1050,-0.0033
0.9800,-0.1961,0.0093,0.0165,2.4208,-8.9764,3.1201,0.0773,-0.1478,0.0282
0.9900,-0.0774,-0.1844,-0.0372,2.4200,-8.9778,3.1165,0.0824,-0.1306,0.0530
1.0000,0.0707,-0.3213,-0.0330,2.4224,-8.9792,3.1106,0.0971,-0.0514,0.0629
1.0100,0.1549,-0.2931,0.0046,2.4282,-8.9808,3.1014,0.1035,0.0492,0.0663
1.0200,0.1649,-0.1397,0.0321,2.4371,-8.9823,3.0901,0.0967,0.1241,0.0712
1.0300,0.0894,-0.0089,0.0452,2.4483,-8.9832,3.0786,0.0856,0.1449,0.0823
1.0400,-0.0013,0.0035,0.0413,2.4605,-8.9838,3.0671,0.0935,0.1404,0.0896
1.0500,-0.1119,-0.0376,0.0709,2.4725,-8.9849,3.0544,0.1109,0.1259,0.0841
1.0600,-0.3235,0.0065,0.1179,2.4828,-8.9864,3.0414,0.1139,0.0831,0.0721
1.0700,-0.5477,0.1023,0.0892,2.4902,-8.9882,3.0300,0.1089,0.0271,0.0523
1.0800,-0.6668,0.1138,0.0590,2.4939,-8.9905,3.0201,0.1059,-0.0075,0.0247
1.0900,-0.6439,0.0609,0.0928,2.4949,-8.9934,3.0108,0.1032,-0.0110,0.0047
1.1000,-0.5476,0.0117,0.1265,2.4948,-8.9964,3.0020,0.0962,-0.0190,0.0047
1.1100,-0.4683,0.0013,0.1755,2.4950,-8.9989,2.9942,0.0875,-0.0360,0.0213
1.1200,-0.3643,0.0222,0.1864,2.4970,-9.0006,2.9874,0.0833,-0.0421,0.0496
1.1300,-0.2571,0.0546,0.1192,2.5020,-9.0013,2.9812,0.0761,-0.0462,0.0903
1.1400,-0.2441,0.1195,0.0130,2.5106,-9.0006,2.9759,0.0671,-0.0475,0.1303
1.1500,-0.2558,0.1480,-0.1062,2.5227,-8.9989,2.9708,0.0665,-0.0250,0.1614
1.1600,-0.1724,0.0007,-0.0849,2.5387,-8.9962,2.9652,0.0542,0.0194,0.1943
1.1700,-0.0814,-0.2139,-0.0057,2.5591,-8.9920,2.9606,0.0270,0.0503,0.2303
1.1800,-0.0962,-0.3306,-0.0631,2.5830,-8.9862,2.9574,0.0138,0.0623,0.2600
1.1900,-0.0816,-0.3801,-0.1609,2.6096,-8.9795,2.9545,0.0163,0.0591,0.2883
1.2000,0.0098,-0.3845,-0.1945,2.6385,-8.9720,2.9515,0.0221,0.0321,0.3233
1.2100,0.0537,-0.4225,-0.2547,2.6695,-8.9638,2.9485,0.0400,-0.0156,0.3560
1.2200,-0.0565,-0.4917,-0.3878,2.7011,-8.9555,2.9451,0.0704,-0.0941,0.3775
1.2300,-0.2704,-0.4234,-0.5175,2.7313,-8.9477,2.9409,0.1124,-0.1940,0.3854
1.2400,-0.4413,-0.2427,-0.6882,2.7589,-8.9413,2.9346,0.1728,-0.2731,0.3785
1.2500,-0.5054,-0.1094,-0.7193,2.7838,-8.9368,2.9247,0.2219,-0.2989,0.3664
1.2600,-0.4003,-0.1311,-0.4309,2.8082,-8.9335,2.9116,0.2448,-0.2583,0.3623
1.2700,-0.1515,-0.3313,-0.0916,2.8346,-8.9309,2.8938,0.2820,-0.1566,0.3637
1.2800,-0.0855,-0.5090,0.1627,2.8642,-8.9290,2.8704,0.3130,-0.1027,0.3771
1.2900,-0.2938,-0.5263,0.3124,2.8958,-8.9266,2.8459,0.3089,-0.1509,0.4071
1.3000,-0.6091,-0.3931,0.2855,2.9283,-8.9222,2.8265,0.2698,-0.2966,0.4600
1.3100,-0.8586,-0.1037,0.1289,2.9617,-8.9148,2.8150,0.2311,-0.4201,0.5138
1.3200,-0.8124,0.2001,-0.0638,2.9975,-8.9056,2.8064,0.2372,-0.3787,0.5411
1.3300,-0.6028,0.4007,-0.1481,3.0382,-8.8957,2.7939,0.2551,-0.2471,0.5697
1.3400,-0.4270,0.4936,-0.0876,3.0863,-8.8847,2.7762,0.2578,-0.1088,0.6189
1.3500,-0.3168,0.5729,0.0714,3.1432,-8.8712,2.7554,0.2376,0.0119,0.6844
1.3600,-0.2205,0.6038,0.2476,3.2086,-8.8548,2.7323,0.2232,0.1430,0.7316
1.3700,-0.3647,0.4806,0.4180,3.2798,-8.8364,2.7073,0.2055,0.1797,0.7645
1.3800,-0.6752,0.3515,0.5646,3.3530,-8.8158,2.6848,0.1844,0.1172,0.7899
1.3900,-0.7746,0.2336,0.5924,3.4251,-8.7938,2.6657,0.1847,0.0382,0.7896
1.4000,-0.9001,0.1681,0.5266,3.4937,-8.7716,2.6498,0.1851,-0.0957,0.7788
1.4100,-0.9584,0.2296,0.3706,3.5569,-8.7496,2.6387,0.1892,-0.2018,0.7414
1.4200,-0.7953,0.3322,0.1326,3.6130,-8.7294,2.6294,0.2013,-0.2360,0.6643
1.4300,-0.5743,0.4908,-0.0162,3.6609,-8.7123,2.6197,0.2039,-0.2056,0.5633
1.4400,-0.1608,0.6823,-0.0590,3.7016,-8.6987,2.6078,0.1904,-0.0802,0.4550
1.4500,0.2442,0.8375,-0.0986,3.7378,-8.6876,2.5930,0.1436,0.0706,0.3836
1.4600,0.4488,0.9290,-0.2119,3.7742,-8.6763,2.5783,0.0823,0.1868,0.3762
1.4700,0.5859,0.8394,-0.4932,3.8145,-8.6632,2.5631,0.0616,0.3022,0.4081
1.4800,0.7744,0.5495,-0.6852,3.8619,-8.6481,2.5428,0.0836,0.4183,0.4741
1.4900,0.8414,0.3136,-0.7787,3.9190,-8.6301,2.5163,0.1245,0.4701,0.5790
1.5000,0.6569,0.2309,-0.9660,3.9857,-8.6089,2.4837,0.1954,0.4715,0.6834
1.5100,0.3586,0.1710,-1.0719,4.0596,-8.5858,2.4439,0.2862,0.4616,0.7533
1.5200,-0.0417,0.0695,-1.0623,4.1371,-8.5619,2.3971,0.3662,0.4379,0.7854
1.5300,-0.3587,-0.0564,-0.9932,4.2150,-8.5385,2.3442,0.4318,0.4472,0.7803
1.5400,-0.4091,-0.1327,-0.9069,4.2918,-8.5165,2.2843,0.4880,0.5084,0.7513
1.5500,-0.3433,-0.1023,-0.8194,4.3668,-8.4962,2.2164,0.5310,0.6012,0.7084
1.5600,-0.2106,-0.0264,-0.6703,4.4396,-8.4778,2.1413,0.5521,0.6964,0.6636
1.5700,-0.0112,0.0539,-0.4974,4.5099,-8.4605,2.0610,0.5479,0.7824,0.6196
1.5800,0.0761,0.1388,-0.1875,4.5769,-8.4442,1.9785,0.5139,0.8418,0.5696
1.5900,0.0667,0.1632,0.1623,4.6398,-8.4284,1.8979,0.4584,0.8425,0.5252
