time,seconds_elapsed,z,y,x
1759485866753608000,0.01160791015625,-0.02088344469666481,-0.01004970446228981,0.05134468153119087
1759485866763665000,0.021664794921875,-0.01540398970246315,-0.03933728486299515,0.07394053786993027
1759485866773721900,0.031721923828125,-0.019002186134457588,-0.06978227943181992,0.07962425798177719
1759485866783778800,0.04177880859375,-0.021460816264152527,-0.09867677837610245,0.08097421377897263
1759485866793835800,0.051835693359375,-0.01751694269478321,-0.1141928881406784,0.07417169958353043
1759485866803892700,0.061892822265625,-0.01966717839241028,-0.11939350515604019,0.06256191432476044
1759485866813949700,0.07194970703125,-0.016977384686470032,-0.09781098365783691,0.0462133027613163
1759485866824007000,0.0820068359375,-0.009180448949337006,-0.04567427933216095,0.02226349338889122
1759485866834065000,0.09206494140625,-0.00021944446780253202,0.00035473305615596473,-0.0087218526750803
1759485866844121900,0.102121826171875,-0.0065263425931334496,-0.005922071170061827,-0.013556288555264473
1759485866854178800,0.1121787109375,-0.015111574903130531,-0.02688993699848652,-0.009034507907927036
1759485866864235800,0.12223583984375,-0.021894380450248718,-0.05812349170446396,-0.0022682142443954945
1759485866874292700,0.132292724609375,-0.013517673127353191,-0.07183344662189484,-0.0005062668933533132
1759485866884349700,0.142349609375,0.0028162929229438305,-0.05777168646454811,-0.007540207821875811
1759485866894407000,0.152406982421875,0.0021204089280217886,-0.056957557797431946,-0.007748733274638653
1759485866904464000,0.1624638671875,0.008343949913978577,-0.045407962054014206,-0.0014197311829775572
1759485866914521900,0.17252197265625,0.00686190091073513,-0.038233671337366104,0.0034562505315989256
1759485866924578800,0.182578857421875,-0.007111971732228994,-0.050873033702373505,0.006917560938745737
1759485866934635800,0.1926357421875,-0.019536150619387627,-0.09563224762678146,0.01671905815601349
1759485866944692700,0.202692626953125,-0.008459530770778656,-0.10816455632448196,0.012013252824544907
1759485866954749700,0.212749755859375,0.0019270633347332478,-0.08708776533603668,-0.007439007982611656
1759485866964807000,0.222806884765625,-0.003795803524553776,-0.08759190142154694,-0.023671241477131844
1759485866974864000,0.23286376953125,-0.01810789667069912,-0.09266442060470581,-0.04199592024087906
1759485866984921900,0.242921875,-0.027029486373066902,-0.10893207788467407,-0.05285176262259483
1759485866994978800,0.252978759765625,-0.0301967840641737,-0.11831732094287872,-0.060014866292476654
1759485867005035800,0.263035888671875,-0.03322426602244377,-0.13653866946697235,-0.06540776789188385
1759485867015092700,0.2730927734375,-0.03862728551030159,-0.16084854304790497,-0.07069787383079529
1759485867025149700,0.283149658203125,-0.038909316062927246,-0.16789951920509338,-0.08514179289340973
1759485867035207000,0.29320703125,-0.044859349727630615,-0.18027949333190918,-0.10123927146196365
