seconds_elapsed,acc_z,acc_y,acc_x,grav_z,grav_y,grav_x,gyro_z,gyro_y,gyro_x
1.55,-0.22765637072473754,0.02097118409723045,-0.7613561279296874,5.51861758326441,-6.27163316835016,-5.136235930252075,-0.19358655065298075,0.38219285011291504,-0.4682651460170746
1.56,-0.22733020751029245,0.06606967823505405,-0.7617699694275856,5.468686262142658,-6.308725758425891,-5.144201502303779,-0.2098685950040817,0.37175023555755615,-0.4999399483203888
1.57,-0.11040595582872625,0.1966901545748114,-0.8589248140171171,5.41692918689847,-6.348516209283471,-5.149997329100966,-0.24624688923358914,0.3796180486679077,-0.520903468132019
1.58,-0.0509457588613033,0.21407880401015275,-0.8935708877235651,5.362182866710424,-6.390595355600118,-5.155230261318385,-0.25919136404991144,0.41906362771987915,-0.5482834875583649
1.59,-0.14940116465538733,0.19795535220503807,-0.6766366942822932,5.3029947646826505,-6.434177015434205,-5.162222604423761,-0.2630010098218918,0.4491143524646759,-0.5767516493797302
1.6,-0.22871757021546357,0.2533288643807173,-0.507678888502717,5.241726056988537,-6.47922553295046,-5.168448931592703,-0.2827436923980713,0.44372572004795074,-0.5889943540096283
1.61,-0.15428133791238063,0.23679010977298015,-0.5051783038586377,5.180757501284778,-6.52538522657901,-5.171847634120285,-0.29966516792774195,0.4356994777917862,-0.5918845534324646
1.62,0.060259238390624546,0.011472411128878618,-0.44715456943511955,5.117127032895386,-6.571060936082899,-5.177348569624126,-0.268475167453289,0.49233850836753845,-0.6006238460540771
1.63,0.2188897114232182,-0.09925444721728555,-0.3021031244218349,5.049925428020954,-6.614834903618693,-5.187576533649862,-0.2405443266034126,0.5529555678367615,-0.5920689404010773
1.64,0.31107465864568945,-0.07413052735477679,-0.33003742552995674,4.981233584588766,-6.656643708561361,-5.200493590629101,-0.23592892289161682,0.5929023921489716,-0.5718689858913422
1.65,0.37697979396879666,-0.0616974545001983,-0.49274289291650053,4.910689245157689,-6.696909375715256,-5.215856871716678,-0.22453933209180832,0.6477952599525452,-0.5634359121322632
1.66,0.38574236161708825,-0.050113399690389554,-0.6588979162350297,4.837357613095641,-6.735727182148397,-5.234354359176754,-0.20602032542228696,0.6933683753013611,-0.5600338280200958
1.67,0.3551357725597918,-0.060159577408432904,-0.7519730902954935,4.7623202000290155,-6.773190651363135,-5.254779015307129,-0.19525074958801264,0.7074027061462402,-0.5562786757946014
1.68,0.28455300081446766,-0.07702946366667746,-0.7481611307919025,4.687156237973273,-6.81011577591747,-5.27460249067396,-0.20243074744939799,0.6898564994335175,-0.5581672787666321
1.69,0.20848960570096964,-0.028692425999045396,-0.8491954471632838,4.613207789187133,-6.847305104365944,-5.291632535929978,-0.20863107591867447,0.6309465169906616,-0.568195253610611
1.7,0.155512487142533,0.0349476870015263,-0.8606418470680712,4.541387146209925,-6.885431713664531,-5.304277497969568,-0.22381304204463956,0.5595950186252594,-0.5933272242546082
1.71,0.16803148471489543,0.03072597765326495,-0.7688996751770376,4.470359991697967,-6.92595164784044,-5.311848517745734,-0.25892927497625345,0.5133114755153656,-0.6276497840881348
1.72,0.24486527967900035,-0.021582886254787444,-0.8264765426158904,4.399062788072973,-6.969485961401462,-5.3144262592792515,-0.30180768668651575,0.4768301099538803,-0.6497355103492737
1.73,0.37048517125248903,-0.0739934569716453,-0.904259162737429,4.3294073603056376,-7.0153872963547705,-5.311237984631955,-0.3531383126974106,0.4121336489915848,-0.6409618258476257
1.74,0.4775811257503926,-0.0907248115420341,-0.9680302086412906,4.266603990390152,-7.062401268725097,-5.299764988981186,-0.40257930755615234,0.2942116409540176,-0.5964739322662354
1.75,0.556213786830008,-0.1120049154579639,-0.8966498567774891,4.212885844206065,-7.109131163457036,-5.280240204299986,-0.42811010777950287,0.19611521065235135,-0.5580423176288605
1.76,0.5656571763493121,-0.09125438837409015,-0.6111909931644797,4.163564179415255,-7.155320375441015,-5.256922164815664,-0.4401679635047912,0.18150369822978968,-0.5489074885845184
1.77,0.40976153510808944,-0.023537235192954552,-0.32598201265931126,4.1131095650717615,-7.202163375158608,-5.232606054204702,-0.4661979675292969,0.22251017391681668,-0.5572652816772461
1.78,0.2205766415968537,0.00403583138734095,-0.24748715261518955,4.059133498603851,-7.250610887463391,-5.207776148852705,-0.49314823746681213,0.2652190774679184,-0.5717940330505371
1.79,0.14859160183817144,0.0464653985768556,-0.23579408447295425,4.002430199129134,-7.300223059633375,-5.18228427246064,-0.5119991600513458,0.2706986367702484,-0.5802040994167328
1.8,0.20994360390156508,0.13479776202440255,-0.1334808342069387,3.9468390986800195,-7.3504726529240605,-5.15381425704062,-0.5359731912612915,0.21917483210563654,-0.5713066756725311
1.81,0.3609191782668233,0.15474807864129536,-0.10304185680150979,3.896270356437564,-7.400874221906065,-5.120058702433109,-0.5569498538970947,0.12394299358129496,-0.550020307302475
1.82,0.4996531106963753,0.10197685791850085,-0.16768822423517693,3.852780758801103,-7.45060475975871,-5.080701090034842,-0.5691564679145813,0.010805115103721605,-0.5212272703647614
1.83,0.5082986278362571,-0.007331073540449151,-0.15960604006648055,3.817050689250231,-7.499463483212888,-5.035586813805997,-0.5897851884365082,-0.08888595551252365,-0.4855886697769165
1.84,0.3774539873518049,-0.1663993534684181,-0.14255202941298478,3.7871848355576394,-7.5477929220959545,-4.985677996776998,-0.6141119599342346,-0.13601767271757126,-0.4568687081336975
1.85,0.24039982470273968,-0.23158786495476957,-0.17458324444591994,3.759937201539427,-7.59573073131293,-4.9332215410917994,-0.6298038065433502,-0.12975616380572313,-0.4357394725084305
1.86,0.1928122902281582,-0.14613164146542545,-0.14808409070745104,3.7328552794769405,-7.643103892384469,-4.8803376537747685,-0.6408110558986664,-0.09569445624947545,-0.41647791862487793
1.87,0.17237024457156655,0.011850012269616156,-0.05070055192857981,3.7052635081961753,-7.68990451426506,-4.82755956491977,-0.6527801156044006,-0.06656320393085476,-0.39883288741111755
1.88,0.1303483814001083,0.13264058399051426,0.0570316546462476,3.677629212947935,-7.736474834521115,-4.773982580772042,-0.6712274253368378,-0.058871859684586456,-0.3891400396823883
1.89,0.09144947255477305,0.188553902131319,0.12068185064941639,3.6503134821295733,-7.783335369895398,-4.718446717641502,-0.6942225694656372,-0.0678460914641618,-0.38809797167778015
1.9,0.049830052704364,0.22182342678755515,0.14394099955335254,3.62317442305237,-7.830895285710692,-4.660303010100126,-0.7174130380153656,-0.08217633888125415,-0.3929818421602249
1.91,-0.030819647286087295,0.2247851992025971,0.1512374401718378,3.595785773128271,-7.879346889668703,-4.599439522206039,-0.7431252300739288,-0.09471645206212995,-0.40370556712150574
1.92,-0.047973318921774595,0.17089841845333575,0.17927856265529984,3.567674215757102,-7.928710932296514,-4.536052653314173,-0.7689317166805267,-0.09316951036453244,-0.4098131060600281
1.93,-0.049517625754326555,0.05603694452047349,0.20153569490984075,3.538842235156894,-7.978675278905033,-4.470547330963612,-0.7919735908508301,-0.08022354543209076,-0.40898048877716064
1.94,-0.09150631730854505,-0.059699850942194405,0.2421916765555739,3.509004730775952,-8.029035639093816,-4.403388980709016,-0.8176551759243011,-0.053170016035437556,-0.4085991382598877
1.95,-0.10665390981882805,-0.12255290521830314,0.2787422687090933,3.4775400635845957,-8.07983234487325,-4.33489397502318,-0.8437399864196777,-0.018070651916787,-0.40691740810871124
1.96,-0.08222966265827415,-0.16167349399030206,0.26936566081568597,3.444960567019135,-8.130943231168388,-4.264764500003308,-0.8716283142566681,0.0010255100205540497,-0.39985302090644836
1.97,-0.0260806360654533,-0.1416217628255486,0.191891375990957,3.4127534108974036,-8.182119291654228,-4.192153291170299,-0.8969354629516602,-0.00975538534112275,-0.38847021758556366
1.98,0.017851006250083398,-0.060419397388398605,0.015408289273083256,3.382438790524006,-8.23287011246532,-4.116675440859794,-0.9078353047370911,-0.049981257878243895,-0.3735148012638092
