time,seconds_elapsed,z,y,x
1759440953101533400,0.082533447265625,0.2106897532939911,-7.635408401489258,-6.2276177406311035
1759440953131533600,0.112533447265625,0.16519992053508759,-7.640196800231934,-6.261136531829834
1759440953141533400,0.122533447265625,0.20350714027881622,-7.66653299331665,-6.285078525543213
1759440953151533600,0.132533447265625,0.22266076505184174,-7.680898189544678,-6.289866924285889
1759440953161533400,0.142533447265625,0.22505496442317963,-7.709628582000732,-6.275501728057861
1759440953171533600,0.152533447265625,0.1628057211637497,-7.747935771942139,-6.225223541259766
1759440953181533400,0.162533447265625,0.13168109953403473,-7.735964775085449,-6.1845221519470215
1759440953191533600,0.172533447265625,0.08140286058187485,-7.764695167541504,-6.155791759490967
1759440953201533400,0.182533447265625,0.05027823522686958,-7.745541572570801,-6.134243965148926
1759440953211533600,0.192533447265625,0.038307227194309235,-7.745541572570801,-6.136638164520264
1759440953221533700,0.20253369140625,0.028730420395731926,-7.719205379486084,-6.165368556976318
1759440953231533600,0.212533447265625,0.043095629662275314,-7.71202278137207,-6.167762756347656
1759440953241533700,0.22253369140625,0.038307227194309235,-7.714416980743408,-6.2084641456604
1759440953251533600,0.232533447265625,0.06224924325942993,-7.66653299331665,-6.198887348175049
1759440953261533700,0.24253369140625,0.0933738648891449,-7.671321392059326,-6.186916351318359
1759440953271533600,0.252533447265625,0.13407529890537262,-7.673715591430664,-6.165368556976318
1759440953281533700,0.26253369140625,0.13407529890537262,-7.654561996459961,-6.2060699462890625
1759440953291533600,0.272533447265625,0.1364694982767105,-7.656956195831299,-6.194098949432373
1759440953301533700,0.28253369140625,0.15083470940589905,-7.668927192687988,-6.2276177406311035
1759440953311533600,0.292533447265625,0.16519992053508759,-7.652167797088623,-6.277895927429199
1759440953321533700,0.30253369140625,0.17238251864910126,-7.644985198974609,-6.282684326171875
1759440953331533600,0.312533447265625,0.15801730751991272,-7.616254806518555,-6.318597793579102
1759440953341533700,0.32253369140625,0.11971008777618408,-7.582736015319824,-6.349722385406494
1759440953351533600,0.332533447265625,0.1412578970193863,-7.580341815948486,-6.344933986663818
